axis0,axis1,axis2,axis3,axis4,axis5,label,filename,timestep,split
-2.2703018188476562,-5.0499701499938965,8.562862396240234,1.85394287109375,132.65228271484375,-13.57269287109375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,64,training
-1.9482816457748413,-4.39036750793457,7.330447196960449,-1.19781494140625,127.5177001953125,-12.0086669921875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,65,training
-1.7824832201004028,-4.282628059387207,7.628525257110596,-1.0986328125,122.3297119140625,-15.7928466796875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,66,training
-1.79146146774292,-5.169680118560791,7.627327919006348,-0.35858154296875,124.47357177734375,-9.28497314453125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,67,training
-1.5454572439193726,-4.5825018882751465,6.475118637084961,-1.44195556640625,121.33026123046875,0.31280517578125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,68,training
-1.4867992401123047,-4.908113479614258,5.4210710525512695,-8.5906982421875,106.2774658203125,7.9193115234375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,69,training
-1.1605892181396484,-5.241506099700928,4.951807498931885,-20.37811279296875,93.20068359375,18.15032958984375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,70,training
-0.6015431880950928,-4.411915302276611,5.452195644378662,-27.923583984375,76.57623291015625,21.1181640625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,71,training
-0.3214215636253357,-4.43705415725708,6.228515625,-33.83636474609375,69.63348388671875,20.20263671875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,72,training
-0.12629413604736328,-4.552574634552002,7.110180377960205,-34.69085693359375,67.42095947265625,20.172119140625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,73,training
-0.04489128291606903,-5.142146587371826,7.750030994415283,-35.46142578125,70.16754150390625,22.42279052734375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,74,training
0.046088382601737976,-5.336675643920898,7.855974197387695,-35.11810302734375,75.592041015625,31.6925048828125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,75,training
0.2322375625371933,-5.092466831207275,7.936180114746094,-34.85870361328125,81.26068115234375,33.8287353515625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,76,training
0.2232593148946762,-5.915473937988281,7.955932140350342,-35.430908203125,87.127685546875,42.61016845703125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,77,training
0.10115502029657364,-5.705981254577637,7.060500621795654,-37.13226318359375,93.5821533203125,57.037353515625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,78,training
0.07721300423145294,-5.522226333618164,5.965153694152832,-34.79766845703125,90.30914306640625,64.73541259765625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,79,training
0.19632454216480255,-5.098452568054199,5.795763969421387,-26.54266357421875,83.709716796875,75.68359375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,80,training
0.002992752008140087,-5.1996073722839355,5.701791286468506,-21.97265625,84.20562744140625,86.95220947265625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,81,training
0.1173158809542656,-4.327519416809082,4.438251495361328,-19.35577392578125,79.1015625,101.4404296875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,82,training
0.569819986820221,-3.030460834503174,4.014477729797363,-24.0325927734375,69.0155029296875,103.7750244140625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,83,training
0.8822633028030396,-2.516904592514038,4.055777549743652,-34.576416015625,61.71417236328125,102.60009765625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,84,training
1.083974838256836,-2.271498918533325,4.414309501647949,-45.0439453125,58.64715576171875,104.7821044921875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,85,training
1.2108675241470337,-1.624465823173523,3.5212721824645996,-47.6531982421875,54.22210693359375,103.179931640625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,86,training
1.3000515699386597,-0.9343371987342834,3.0795419216156006,-47.72186279296875,32.38677978515625,93.3685302734375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,87,training
